Scientific name,Lat,Lng,Date,Id,Geoprivacy,Quality grade
Sicarius fumosus,-33.5834341,-70.38095296,2023-04-02,153631424,None,research
Colliguaja odorifera,-33.5816802,-70.37924829,2023-04-02,153628210,None,research
Bubo magellanicus,-33.58365116,-70.3639736,2023-03-02,152762365,open,research
Colliguaja odorifera,-33.53481006,-70.38600393,2022-11-24,152369557,None,research
Rachiptera limbata,-33.55441961,-70.37801497,2009-11-14,152367832,None,research
Hermetia illucens,-33.57771174,-70.40191809,2023-03-21,151845578,None,research
Perusia inusta,-33.57657197,-70.402938,2023-02-24,149575708,None,research
Liolaemus tenuis,-33.557615,-70.398346,2023-02-04,148353277,None,research
Aquarius chilensis,-33.556909,-70.398646,2023-02-04,148353276,None,research
Aquarius chilensis,-33.556319,-70.398711,2023-02-04,148353271,None,research
Daptrius chimango,-33.558706,-70.397445,2023-02-04,148353270,open,research
Bombus terrestris,-33.55673,-70.398839,2023-02-04,148353268,None,research
Polistes buyssoni,-33.56513412,-70.39825995,2023-02-04,148353264,None,research
Liolaemus tenuis,-33.556373,-70.397895,2023-02-04,148353261,None,research
Cylindrophora maulica,-33.557639,-70.39812,2023-02-04,148219756,None,research
Philodryas chamissonis,-33.56533085,-70.3968652,2023-01-24,147742640,open,research
Coptopteryx gayi,-33.5779392,-70.4073041,2023-01-28,147520609,None,research
Podanthus mitiqui,-33.57722256,-70.39174888,2023-01-22,147124800,None,research
Polybetes martius,-33.58547784,-70.38911965,2023-01-04,146787013,None,research
Coptopteryx gayi,-33.58538611,-70.38899444,2023-01-11,146786813,None,research
Hirmoneuropsis brevirostrata,-33.576419,-70.40299297,2023-01-14,146529414,None,research
Leptoglossus chilensis,-33.576377,-70.40292997,2023-01-10,146292360,None,research
Liolaemus chiliensis,-33.5576791,-70.39840344,2023-01-08,146198711,None,research
Asthenes modesta,-33.55762167,-70.39779667,2022-12-29,146178348,open,research
Mutisia subulata subulata,-33.55762167,-70.39852833,2022-12-30,146178261,None,research
Liolaemus nitidus,-33.57876354,-70.3773757,2023-01-06,146004670,None,research
Cladodes flabellata,-33.576393,-70.402984,2023-01-04,145842367,None,research
Alstroemeria revoluta,-33.55900572,-70.38269806,2023-01-01,145698448,None,research
Leistes loyca,-33.58332464,-70.36202062,2022-12-15,144957082,open,research
Leistes loyca,-33.58477175,-70.36364436,2022-12-15,144924581,open,research
