Scientific name	Lat	Lng	Date	Id	Geoprivacy	Quality grade
Oogenius chilensis	-33.57745966	-70.39166593	2023-04-22	156334847	None	research
Mimus thenca	-33.58155434	-70.39592743	2023-04-22	156333025	open	research
Mimus thenca	-33.58121782	-70.39709176	2023-04-22	156333023	open	research
Daptrius chimango	-33.57855419	-70.39413061	2023-04-22	156333021	open	research
Pyrope pyrope	-33.5811201	-70.39808323	2023-04-22	156333017	open	research
Orthogonoderes	-33.57739104	-70.39174891	2023-04-22	156329120	None	needs_id
Icerya	-33.58489291	-70.37282218	2023-04-02	155035408	None	needs_id
Praocis	-33.57791902	-70.38767912	2023-04-02	153637019	None	needs_id
Sicarius fumosus	-33.5834341	-70.38095296	2023-04-02	153631424	None	research
Mogoplistinae	-33.58326701	-70.38218492	2023-04-02	153631216	None	needs_id
Theraphosinae	-33.58205764	-70.3806311	2023-04-02	153630847	None	needs_id
Brachymyrmex	-33.58183587	-70.37948568	2023-04-02	153630498	None	needs_id
Bothriurus	-33.58109232	-70.38243354	2023-04-02	153629997	None	needs_id
Pachylus	-33.58239729	-70.38138212	2023-04-02	153629512	None	needs_id
Colliguaja odorifera	-33.5816802	-70.37924829	2023-04-02	153628210	None	research
Bubo magellanicus	-33.58365116	-70.3639736	2023-03-02	152762365	open	research
Tropaeolum	-33.53723386	-70.38707312	2022-12-12	152370907	None	needs_id
Schizanthus hookeri	-33.50187529	-70.40610373	2022-12-13	152369874	None	research
Colliguaja odorifera	-33.53481006	-70.38600393	2022-11-24	152369557	None	research
Rachiptera limbata	-33.55441961	-70.37801497	2009-11-14	152367832	None	research
Bothriurus	-33.577814	-70.38975167	2023-03-12	150979659	None	needs_id
Perusia inusta	-33.57657197	-70.402938	2023-02-24	149575708	None	research
Liolaemus tenuis	-33.557615	-70.398346	2023-02-04	148353277	None	research
Aquarius chilensis	-33.556909	-70.398646	2023-02-04	148353276	None	research
Aquarius chilensis	-33.556319	-70.398711	2023-02-04	148353271	None	research
Daptrius chimango	-33.558706	-70.397445	2023-02-04	148353270	open	research
Bombus terrestris	-33.55673	-70.398839	2023-02-04	148353268	None	research
Polistes buyssoni	-33.56513412	-70.39825995	2023-02-04	148353264	None	research
Pepsis	-33.56431165	-70.39604981	2023-02-04	148353262	None	needs_id
Liolaemus tenuis	-33.556373	-70.397895	2023-02-04	148353261	None	research
Megarhyssa	-33.58096622	-70.3965222	2023-02-07	148274876	None	needs_id
Cylindrophora maulica	-33.557639	-70.39812	2023-02-04	148219756	None	research
Philodryas chamissonis	-33.56533085	-70.3968652	2023-01-24	147742640	open	research
Agaricales	-33.57747805	-70.39194024	2023-01-22	147133255	None	needs_id
Podanthus mitiqui	-33.57726285	-70.39206119	2023-01-22	147125214	None	needs_id
Escallonia	-33.57721851	-70.39183413	2023-01-22	147125122	None	needs_id
Orthoptera	-33.58539167	-70.38901111	2022-12-24	146787064	None	needs_id
Coptopteryx gayi	-33.58538611	-70.38899444	2023-01-11	146786813	None	research
Rhionaeschna	-33.58833611	-70.38944444	2023-01-15	146786783	None	needs_id
Lycosinae	-33.58538611	-70.38903056	2023-01-16	146786685	None	needs_id
Hirmoneuropsis brevirostrata	-33.576419	-70.40299297	2023-01-14	146529414	None	research
Leptoglossus chilensis	-33.576377	-70.40292997	2023-01-10	146292360	None	research
Proscopiidae	-33.5764046	-70.4030538	2023-01-09	146206731	None	needs_id
Liolaemus chiliensis	-33.5576791	-70.39840344	2023-01-08	146198711	None	research
Cladodes flabellata	-33.576393	-70.402984	2023-01-04	145842367	None	research
Cicadoidea	-33.57642297	-70.40306497	2023-01-04	145841157	None	needs_id
Leistes loyca	-33.58332464	-70.36202062	2022-12-15	144957082	open	research
Leistes loyca	-33.58477175	-70.36364436	2022-12-15	144924581	open	research
Troglodytes aedon	-33.58804601	-70.36633898	2022-12-15	144924353	open	research
Ormiscodes amphimone	-33.57791111	-70.36479604	2022-11-30	144085669	None	needs_id
Pachylus	-33.576453	-70.40298797	2022-12-03	143560182	None	needs_id
Plantae	-33.5866808	-70.3929475	2022-12-02	143526074	None	needs_id
Bubo magellanicus	-33.57865441	-70.36117908	2022-10-26	143402981	open	research
